feature,feature_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
points_per40,득점(40분),0.5866817330291539,0.1605649084944547,-0.043836146378185836,-0.03890147407859433,-0.018764313115642944,0.007080283004648221,0.10180267195414369,0.01852045251759975,0.030831759992907853,-0.026856290807107004,0.17083990692544498,-0.30595611136682527,-0.02342742878693877,0.7003309094720606
two_pt_pct,2점 성공률,0.40211939914972183,0.0855695841735854,-0.010072341437718704,0.021817919691757767,0.15565869446865957,-0.42718657605868326,0.1689708480419265,-0.3529868568628216,0.10844633310117371,-0.048159309376577045,-0.49484001585950027,-0.27278026716340453,-0.03362474069870634,-0.36884309400670234
three_pt_pct,3점 성공률,0.327502486802837,0.16476940434464443,-0.11640127564703003,0.011768588432342412,-0.20961915771300382,0.41635283167226556,-0.3051991951478458,0.44270569482577043,-0.3230262217310751,-0.06367619118126852,-0.19999051796245731,-0.2682133815859417,-0.019790237111708922,-0.35320501007380317
pace,경기 템포,0.2946507500066089,-0.23668330114012573,0.5263967925417372,-0.04156933491880261,0.0029492615640312183,0.040782555662491664,-0.1837518691323725,-0.23181719378341187,-0.040586565030138716,0.14823900649517657,0.5236496195267198,-0.08901872414023644,-0.3067606604812257,-0.2988428509103168
def_rebounds_per40,수비리바운드(40분),0.16275852112496567,-0.5329823276573183,-0.19849952097336768,-0.3081247859733808,-0.20277888273880204,0.02635127622943524,-0.19513243195487365,-0.11558733792130356,0.23061450995061536,-0.1322681888948044,0.08067512393770325,-0.08519806593092968,0.6103655216867439,-0.06967505147747746
defensive_rating,수비 효율,-0.022508280471279264,0.6012312022975436,0.14262840283880074,-0.07126622178199866,0.10745046313821854,-0.07770581501965629,-0.16143907650454165,-0.22778623164441678,-0.25130955902931906,0.2174060809149185,0.21174437302297316,0.032965311741552844,0.5954044523710557,-0.07879716300779478
turnovers_per40,턴오버(40분),0.012240417185375989,-0.26222788782077355,0.26062792077644475,-0.20380501020909617,0.5959937607357253,0.249615072666151,-0.2743134393592733,-0.09209970065839855,-0.26652343163088976,0.051244020314101184,-0.41212827989388384,0.08189180082528687,0.039328551667862414,0.26194166567354193
oreb_pct,ORB%,0.06271334016433258,0.039693055011338685,-0.4143808667679182,-0.13883262998539475,0.6905183162715696,0.03421450043973079,0.11214595201872363,0.26204803349690603,0.18823630966310206,0.017525938205844135,0.3739549786899552,-0.09561883660160467,-0.031226998655481474,-0.24201849653694552
steals_per40,스틸(40분),0.08132924976435496,-0.16268216402102156,0.42356669465804336,0.5578497931302507,0.15685043228859055,0.11825754805450123,0.38523088723099436,0.30412570481583623,0.08525053821685813,-0.105800549307623,-0.005405611844895203,-0.06588495602455136,0.4133836460944512,-0.05581438978915581
assists_per40,어시스트(40분),0.49907733227051004,0.02913419428611733,-0.1256813917455601,0.17512076805468693,0.006792100978605599,-0.04073784183815322,-0.12069334206024641,0.05125653604838641,0.07631970473606499,0.020075186284677648,-0.02623110927339278,0.8221493425175492,0.003857261384802058,-0.04301044532079791
free_throw_pct,자유투 성공률,0.06311928318635911,0.08442206399636347,-0.10304137979308771,-0.12819983921629902,-0.06844414384535538,0.6951364220959849,0.5020840971859738,-0.4331290922656687,0.06122705478758125,0.09490980561725737,-0.046194230127455084,0.09107496114258284,-0.011283768122135433,-0.10457125227960748
fta_rate,FTA Rate,0.05708423741461191,0.04414885135281786,0.23697690399029855,-0.549866190658569,-0.0424438158108489,-0.1701937857959902,0.3956032935865081,0.21062138270467257,-0.32831832291538593,-0.49945774061897463,0.06505693567932574,0.19497592790794954,0.008719555104354963,-0.07124359146475898
blocks_per40,블록(40분),0.07490219133199583,-0.3238755348845359,-0.19071949467782162,-0.03668392332549198,-0.08817116456591331,-0.21017865423881668,0.3305550224540821,0.13830046541676397,-0.489924713755138,0.6544710532416753,0.0014618910769745867,0.003934205539073198,0.055090588326073366,-0.004541860121828299
fouls_per40,파울(40분),0.02005535062999338,0.16295654319610028,0.3310539252211103,-0.41631237460326836,-0.08872414201690729,0.015415750892675325,0.03719143272685875,0.369759825358559,0.5420591679304356,0.4525942327496443,-0.2088540463104481,0.03644548622093877,0.010636700190159519,-0.013564543712949902
