game_id,team,season,win,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
S23G01N3,부산KT,2013-2014,1,0.786960781903948,-0.7410222512570429,-2.28874293518457,0.6297677044865337,-1.8752317356199073,-0.3588041657102016,0.8304514536762376,1.720809835010617,-0.4035651606671395,1.9014671039180036,-0.489774141036798,-0.21279281923076357,0.42953515231573286,-0.15260598373322254
S23G01N7,부산KT,2013-2014,0,-1.8747757028025434,2.7322866751316925,-0.3711192365293911,0.589186221047195,-1.8181485644724331,1.0090890969130961,-0.7238463636920452,1.984891475951948,-1.5358513845444604,-0.21257431221515147,-0.6919187349234032,-0.14689762967724623,0.05752032785427753,-0.23343961168694122
S23G01N13,부산KT,2013-2014,1,-1.2696812171804461,-0.970147643194853,-0.5013252045240314,0.2291109902008544,-2.878896154898198,1.2381150709040696,1.1156651778872335,1.966937133213813,-1.736504343298519,0.09119251230457415,-0.688110393965032,-0.30010599616083194,-0.3906503419606894,-0.14586751033143222
S23G01N16,부산KT,2013-2014,0,0.5800879651653124,4.687553016080565,-0.14499172439530705,-0.8257017261924149,0.1065910897390871,0.7264145533893585,-0.5063351208847945,-0.0919392532855075,-1.845595360137294,0.6836437856293628,-0.38964449697673714,0.7595473223055547,0.49462376046088824,-0.19926926267180117
S23G01N22,부산KT,2013-2014,1,0.48668430323939943,1.6744590615285735,1.6470142808645607,0.7896549435930751,-2.232778592410274,0.6960073239552871,-0.2697940908522011,1.7392004113669832,-1.934330720923238,-0.4870220027105547,0.1586382562861625,-0.33096252966175566,0.14080632143008792,-0.4676076328728173
S23G01N25,부산KT,2013-2014,1,0.48743222375772416,0.23250526937641303,-0.44332963896109173,0.8125138165819958,-0.191665084161619,1.4671251583774036,0.13575753914512095,0.31525019890878736,0.05829157210921894,0.6350761329343283,-2.0568347959088884,-0.6675369875095519,-0.37426072611163413,-0.14799315179099026
S23G01N30,부산KT,2013-2014,1,1.3153652987323603,1.8199667074138965,0.2879362771499956,1.5026149434305651,1.609708811919226,1.8349791036441216,1.7128002203618515,3.282846145870242,0.41099838466985644,-0.9729538939629807,-0.2886663506235713,-1.4453938955869912,0.4195732906621384,-0.3332263330331429
S23G01N36,부산KT,2013-2014,1,-0.21511966829976042,1.1242590731821018,0.5417054116072939,0.7681030661358842,-0.5864815697546157,1.3210642306203197,0.7636505639361745,0.19760894450730257,-0.6196907014306585,-1.2170310514997864,0.43456074250254945,-0.6364056078238236,-0.7098409804030817,-0.5674654891709405
S23G01N40,부산KT,2013-2014,0,-3.6079601134889296,-1.4475242738922296,-1.1154154856670884,1.6459798297396049,0.7693324650315642,1.712619008792796,1.2999568835483384,0.23784738981336767,-0.5711025967505141,0.09727614015218627,-0.480610150653534,0.7685369939207298,-0.11348043386823704,-0.09315064944468285
S23G01N46,부산KT,2013-2014,1,0.9582095273424959,0.4572920865915199,0.07603749262982078,-0.6932772202766986,1.3056114416558544,1.6946939948351947,1.0059179302432373,2.5287268263611855,-1.0175022452483593,0.1935372275260024,-1.152174305610492,0.14449947570575575,-0.7943260576605041,0.027184947147885954
