feature,points_per40,two_pt_pct,three_pt_pct,free_throw_pct,off_rebounds_per40,def_rebounds_per40,assists_per40,steals_per40,blocks_per40,turnovers_per40,fouls_per40,efg_pct,tov_pct,oreb_pct,fta_rate,offensive_rating,defensive_rating,pace
points_per40,1.0,0.5631761529151124,0.4954273026356414,0.14886738393210033,0.00012322546432937232,0.10112118511744,0.5736737209266168,0.06549445712787741,0.023333130341275318,-0.15796208845280424,0.06763345637732636,0.7636949633520651,-0.22846214273473409,0.17714790778125172,0.13262552862831792,0.8748167131664556,0.11942281445180508,0.3684904121121713
two_pt_pct,0.5631761529151124,1.0,0.018674125276745272,-0.006974970984301901,-0.27399024863682025,0.03223160054412587,0.3854130951954787,0.02329832694315827,0.03413336083315104,0.041829571523245825,-0.006959678024508953,0.7150365726191517,0.07278114128756605,0.0031174746045432326,0.04711463280534631,0.5736136308631339,0.05466290495919093,0.10037448605472218
three_pt_pct,0.4954273026356414,0.018674125276745272,1.0,0.0383142958406476,-0.22133104692361905,0.003450102863370077,0.34476656100671405,-0.03052420013772618,-0.027521507148091828,0.015495896110848627,0.028856672722831923,0.6616516119997047,0.05622805732853421,-0.041242677666392794,0.006808550961501405,0.5577367234000551,0.06953026038817674,0.005488591744622501
free_throw_pct,0.14886738393210033,-0.006974970984301901,0.0383142958406476,1.0,-0.0789766175368148,-0.009084460213957474,0.003630958659826771,-0.018714144077082183,-0.019564778281931754,-0.007941963090668712,0.008161527848607802,0.02260781370437252,0.005610075234483725,0.0038402579506561026,-0.0018181038888661597,0.17182277275838068,0.026157954004834838,-0.03258886715242204
off_rebounds_per40,0.00012322546432937232,-0.27399024863682025,-0.22133104692361905,-0.0789766175368148,1.0,0.016283494420666032,-0.03552743903138889,-0.016951364725838847,0.012119027379451964,0.009404426056806367,-0.006949207077780557,-0.35325480497492323,-0.12570968847240296,0.8718663661526533,-0.09100291432708228,0.008696734811598458,-0.00455077535865653,-0.05783049365049785
def_rebounds_per40,0.10112118511744,0.03223160054412587,0.003450102863370077,-0.009084460213957474,0.016283494420666032,1.0,0.12238025593009609,-0.17953481778586913,0.17114687709084306,0.12259371327103463,-0.05948156870642518,0.03018987906601962,0.08006927768269638,-0.005144970403122963,0.012087708898251597,-0.007421879886957229,-0.572045510638781,0.2871301770365304
assists_per40,0.5736737209266168,0.3854130951954787,0.34476656100671405,0.003630958659826771,-0.03552743903138889,0.12238025593009609,1.0,0.07739971702786323,0.041729796070599776,-0.03908775538504529,-0.029736580431114348,0.5206282386990045,-0.07406281401837732,0.08579781846807798,-0.07195734811998587,0.5027636746408773,-0.021814370375736844,0.2322335145216004
steals_per40,0.06549445712787741,0.02329832694315827,-0.03052420013772618,-0.018714144077082183,-0.016951364725838847,-0.17953481778586913,0.07739971702786323,1.0,0.025069611701450546,0.05500713709664481,-0.03439554572595852,-0.0025034802757816304,0.019272073797582133,-0.05700934026715764,-0.045721100051588325,-0.036287455789607355,-0.26118770698794236,0.21795110891933847
blocks_per40,0.023333130341275318,0.03413336083315104,-0.027521507148091828,-0.019564778281931754,0.012119027379451964,0.17114687709084306,0.041729796070599776,0.025069611701450546,1.0,0.025044069937418544,-0.08557054323142071,0.01588939295955964,0.019576775242205552,0.022376670573192113,0.030085681809529374,0.012499514025108807,-0.23864015797920915,0.05023040515078339
turnovers_per40,-0.15796208845280424,0.041829571523245825,0.015495896110848627,-0.007941963090668712,0.009404426056806367,0.12259371327103463,-0.03908775538504529,0.05500713709664481,0.025044069937418544,1.0,-0.009578874865703572,0.03889355725169127,0.9714151934239267,0.12629151319725693,0.03910466615854435,-0.3061669479805768,-0.09740535285118393,0.24806194462180906
