step,removed_feature,removed_feature_label,vif_at_removal,remaining_after_removal
1,tov_pct,TOV%,185.25155216349654,17
2,offensive_rating,공격 효율,92.25202082403977,16
3,efg_pct,eFG%,36.3687699830947,15
4,off_rebounds_per40,공격리바운드(40분),12.60983438528182,14
